month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2020-01,1580515140,9327.85,18134,17817,17866,17.816999999998792,0.0,0.0,0.8169999999839739,317,310.9105633777939,311.72756337777787,311.72756337777787
2020-02,1583020740,8527.74,12014,12002,29746,12.001999999998787,0.0,0.0,0.8189999999526654,329,270.46743343486634,271.286433434819,271.286433434819
2020-03,1585699140,6421.14,0,0,44640,0.0,0.0,0.0,0.8189999999526654,329,203.65410478344293,204.4731047833956,204.4731047833956
2020-04,1588291140,8627.32,0,0,43200,0.0,0.0,0.0,0.8189999999526654,329,273.6257317673019,274.44473176725455,274.44473176725455
2020-05,1590969540,9446.19,0,0,44640,0.0,0.0,0.0,0.8189999999526654,329,299.5971693600063,300.416169359959,300.416169359959
2020-06,1593561540,9132.96,4930,4925,38270,4.924999999999979,0.0,0.0,0.7439999999651334,334,302.4004908544877,303.14449085445284,303.14449085445284
2020-07,1596239940,11356.74,6825,7019,37815,7.019000000000679,0.0,0.0,201.76299999994993,140,139.49367638912133,341.25667638907123,341.25667638907123
2020-08,1598918340,11655.0,8328,8119,36312,8.11900000000094,0.0,0.0,0.8819999999087047,349,329.62462106875637,330.5066210686651,330.5066210686651
2020-09,1601510340,10778.22,0,0,43200,0.0,0.0,0.0,0.8819999999087047,349,304.8276862544565,305.70968625436524,305.70968625436524
2020-10,1604188740,13816.08,9482,9608,35158,9.608000000000114,0.0,0.0,136.48999999986546,223,221.4958907640294,357.9858907638949,357.9858907638949
2020-11,1606780740,19700.19,27132,27325,16068,27.325000000010412,0.0,0.0,356.814999999712,30,29.87933482839013,386.6943348281021,386.6943348281021
2020-12,1609459140,28992.79,30824,30638,13816,30.63800000001446,0.0,0.0,201.452999999445,216,214.41334211983246,415.8663421192775,415.8663421192775
2021-01,1612137540,33141.38,16834,16616,27806,16.615999999997324,0.0,0.0,0.0689999992482111,434,356.4526052493031,356.5216052485513,356.5216052485513
2021-02,1614556740,45240.96,22503,22481,17817,22.481000000004492,0.0,0.0,0.5499999989911135,456,363.7873488849319,364.33734888392297,364.33734888392297
2021-03,1617235140,58782.58,11406,11395,33234,11.394999999999124,0.0,0.0,0.9449999989638989,467,453.5451166653763,454.49011666434023,454.49011666434023
2021-04,1619827140,57775.27,8780,8771,34420,8.771000000000578,0.0,0.0,0.7159999988960166,476,435.0297108534256,435.7457108523216,435.7457108523216
2021-05,1622505540,37341.41,0,0,44640,0.0,0.0,0.0,0.7159999988960166,476,281.1691368150979,281.8851368139939,281.8851368139939
2021-06,1625097540,35037.23,0,0,43200,0.0,0.0,0.0,0.7159999988960166,476,263.8193821682698,264.5353821671658,264.5353821671658
