month,timestamp,close,buys,sales,skipped_buys,realized_profit_this_month,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2020-01,1580515140,9327.85,18134,17817,17866,17.816999999998792,0.8169999999839739,0.8169999999839739,0.0,317,310.9105633777939,310.9105633777939,311.72756337777787
2020-02,1583020740,8527.74,12003,11992,29757,11.991999999998793,0.991999999970175,1.8089999999541488,0.0,328,269.6393327442479,269.6393327442479,271.44833274420205
2020-03,1585699140,6421.14,0,0,44640,0.0,0.0,1.8089999999541488,0.0,328,203.03056906723234,203.03056906723234,204.8395690671865
2020-04,1588291140,8627.32,0,0,43200,0.0,0.0,1.8089999999541488,0.0,328,272.7879611914886,272.7879611914886,274.59696119144274
2020-05,1590969540,9446.19,0,0,44640,0.0,0.0,1.8089999999541488,0.0,328,298.6798810206909,298.6798810206909,300.48888102064507
2020-06,1593561540,9132.96,4889,4885,38311,4.884999999999966,0.8850000000124183,2.693999999966567,0.0,332,300.55731157798385,300.55731157798385,303.25131157795045
2020-07,1596239940,11356.74,6797,6989,37843,6.989000000000669,18.147500000032544,20.84149999999911,180.8414999999538,140,139.49367638912125,320.33517638907506,341.17667638907415
2020-08,1598918340,11655.0,7998,7810,36642,7.810000000000943,0.6514999999303797,21.49299999992949,0.0,328,309.70761018204865,309.70761018204865,331.20061018197816
2020-09,1601510340,10778.22,0,0,43200,0.0,0.0,21.49299999992949,0.0,328,286.408988263952,286.408988263952,307.9019882638815
2020-10,1604188740,13816.08,8890,8995,35750,8.995000000000454,7.751000000070318,29.243999999999808,106.24399999989737,223,221.4958907640297,327.73989076392706,356.98389076392687
2020-11,1606780740,19700.19,24854,25047,18346,25.04700000000763,12.523500000003814,41.76750000000362,311.76749999979234,30,29.879334828390405,341.64683482818276,383.4143348281864
2020-12,1609459140,28992.79,29099,28913,15541,28.913000000012353,14.456500000006177,56.224000000009795,140.22399999962317,216,214.41334211983278,354.637342119456,410.8613421194658
2021-01,1612137540,33141.38,15176,15021,29464,15.020999999997114,0.24499999947449158,56.46899999948429,0.0,371,302.83465144676796,302.83465144676796,359.3036514462523
