asset_type,ticker,starting_capital,target_net_profit_percent,required_reference_price_rise_percent,final_total_wealth,final_profit_loss,return_percent,buy_and_hold_final_wealth,buy_and_hold_return_percent,buys,sales,open_lots,unrealized_pnl_on_open_lots,participation_percent_of_eligible_minutes,average_holding_minutes_closed,maximum_drawdown_percent,eligible_minutes,trading_sessions,first_close,final_close,underlying_price_change_percent,first_timestamp,final_timestamp,buy_and_hold_profit_loss,initial_capital,final_cash,open_lot_cost_basis,open_liquidation_value,skipped_buys,realized_profit_before_final_liquidation,max_open_lots,maximum_holding_minutes_closed,oldest_open_lot_age_minutes,closed_within_1_hour_percent,closed_within_1_day_percent,closed_within_7_days_percent,closed_within_30_days_percent,maximum_drawdown_timestamp
crypto,BTCUSD,300,1.0,1.222444666889122,404.58258078598175,104.58258078598175,34.860860261993906,410.89305063456845,36.96435021152282,17846,17373,473,-69.14741921394767,3.395357686453577,8978.821389512463,27.742969982903553,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.7299999999293973,473.0,403.85258078605233,507754,173.72999999998697,473,110600,123299,7.229609163644736,50.906579174581246,82.04109825591435,95.48725033097335,1669067460
crypto,BTCUSD,300,2.0,2.2246470893335424,424.21347454576096,124.21347454576096,41.40449151525365,410.89305063456845,36.96435021152282,10272,9777,495,-71.32652545423042,1.9543378995433789,16255.271964815383,27.770223379575263,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.5399999999913803,495.0,423.6734745457696,515328,195.54000000002623,495,130723,141606,1.5751252940574818,33.81405339061062,71.28976168558863,91.7050219903856,1669067460
crypto,BTCUSD,300,3.0,3.226849511778007,423.4408412478101,123.44084124781011,41.14694708260338,410.89305063456845,36.96435021152282,6867,6376,491,-67.83915875217656,1.3065068493150684,22594.810696361354,27.790836586911226,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.2799999999866998,491.0,423.16084124782344,518733,191.28000000000648,491,131313,243295,0.25094102885821834,17.518820577164366,60.257214554579676,88.69196988707654,1669067460
crypto,BTCUSD,300,4.0,4.22905193422245,415.4824753657904,115.48247536579038,38.49415845526345,410.89305063456845,36.96435021152282,4993,4513,480,-65.03752463421029,0.9499619482496194,29205.895634832705,27.77606649464706,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.5200000000006639,480.0,414.9624753657897,520607,180.51999999999836,480,134972,243322,0.28805672501661866,7.555949479282074,49.25769997784179,82.7609129182362,1669067460
crypto,BTCUSD,300,5.0,5.2312543566669145,416.47094325742194,116.47094325742194,38.823647752473974,410.89305063456845,36.96435021152282,4153,3670,483,-67.02905674258648,0.790144596651446,40287.63051771117,27.795972646444145,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.5000000000084412,483.0,415.9709432574135,521447,183.50000000000747,483,150815,247566,0.1907356948228883,3.8419618528610355,37.05722070844686,73.7874659400545,1669067460
crypto,BTCUSD,300,6.0,6.233456779111335,410.8788530645593,110.87885306455928,36.95961768818643,410.89305063456845,36.96435021152282,3319,2849,470,-60.06114693544487,0.631468797564688,43511.60758160758,27.802878569099637,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.9400000000041473,470.0,409.93885306455513,522281,170.94000000000494,470,135202,247620,0.0351000351000351,1.1934011934011934,30.326430326430327,72.90277290277291,1669067460
crypto,BTCUSD,300,7.000000000000001,7.2356592015558,410.05791889705716,110.05791889705716,36.68597296568572,410.89305063456845,36.96435021152282,2790,2328,462,-52.902081102934346,0.5308219178082192,45289.344072164946,27.802878569099743,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.9599999999915099,462.0,409.09791889706565,522810,162.9599999999906,462,135207,247796,0.0,0.0,21.477663230240548,71.21993127147766,1669067460
crypto,BTCUSD,300,8.0,8.237861624000242,419.2723880915546,119.2723880915546,39.75746269718488,410.89305063456845,36.96435021152282,2685,2209,476,-57.44761190844582,0.5108447488584474,47505.92032593934,27.802878569099637,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.7200000000003968,476.0,418.5523880915542,522915,176.72000000000523,476,133988,247797,0.0,0.0,14.848347668628339,75.73562698053418,1669067460
crypto,BTCUSD,300,9.0,9.240064046444685,423.7524828973557,123.75248289735572,41.250827632451916,410.89305063456845,36.96435021152282,2482,2002,480,-56.4275171026477,0.4722222222222222,51731.5974025974,27.741879114747288,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.18000000000341077,480.0,423.5724828973523,523118,180.18000000000555,480,162800,247797,0.0,0.0,5.994005994005994,61.938061938061935,1669067460
crypto,BTCUSD,300,10.0,10.242266468889127,417.04820527398294,117.04820527398294,39.016068424660986,410.89305063456845,36.96435021152282,2314,1831,483,-66.05179472601594,0.4402587519025875,74597.42490442381,27.7662580024148,525600,365,19605.0,26911.0,37.266003570517725,1664496000,1696031940,110.89305063456845,300.0,0.09999999999885745,483.0,416.94820527398406,523286,183.09999999999388,483,163001,247639,0.0,0.0,11.086837793555434,35.008192244675044,1669067460
