asset_type,ticker,starting_capital,best_target_percent,best_final_wealth,best_profit_loss,best_return_percent,buy_and_hold_final_wealth,buy_and_hold_return_percent,excess_return_vs_buy_hold_points,buys,sales,open_lots,participation_percent,average_hold_days,maximum_drawdown_percent
stock,AAPL,300,7.000000000000001,358.87164354085905,58.871643540859054,19.62388118028635,361.7506322692252,20.583544089741746,-0.9596629094553961,1745,1351,394,1.7851845031662728,64.69693436960277,21.120320091454687
stock,AAPL,600,5.0,725.9741199269502,125.97411992695015,20.995686654491696,723.5012645384504,20.583544089741746,0.41214256474994926,5280,4458,822,5.401589786084768,42.61149275958327,20.433086162235785
stock,AAPL,900,2.0,1084.101171295269,184.10117129526907,20.455685699474337,1085.2518968076756,20.583544089741746,-0.1278583902674093,17966,16732,1234,18.379727669848286,16.69648378356841,19.39142350063292
stock,AMZN,300,8.0,327.383631897614,27.38363189761401,9.127877299204679,333.6508478609107,11.216949286970234,-2.0890719877655552,1006,654,352,1.0289560085507676,136.02330530071356,33.664508228361555
stock,AMZN,600,8.0,658.6721033272522,58.672103327252216,9.778683887875372,667.3016957218214,11.216949286970234,-1.4382653990948615,2321,1594,727,2.3739631171434707,122.31871732538687,33.68993372274131
stock,AMZN,900,8.0,982.8485457791834,82.84854577918338,9.205393975464826,1000.952543582732,11.216949286970213,-2.0115553115053864,3519,2425,1094,3.599300391739713,123.25482216494846,33.682811202520504
crypto,BTCUSD,300,2.0,424.21347454576096,124.21347454576096,41.40449151525365,410.89305063456845,36.96435021152282,4.440141303730833,10272,9777,495,1.9543378995433789,11.288383308899572,27.770223379575263
crypto,BTCUSD,600,2.0,903.0648946786015,303.0648946786015,50.5108157797669,821.7861012691369,36.96435021152282,13.54646556824408,23784,22730,1054,4.525114155251141,9.972325854230826,27.788627800886744
crypto,BTCUSD,900,2.0,1360.1748798378076,460.17487983780757,51.130542204200836,1232.6791519037054,36.96435021152282,14.166191992678016,35869,34284,1585,6.824391171993912,9.728005187875135,27.732406135766325
etf,DIA,300,9.0,345.43552742582307,45.43552742582307,15.14517580860768,343.7867015147053,14.595567171568447,0.549608637039233,983,627,356,1.0096030401068146,60.41724924685451,8.852915808784221
etf,DIA,600,9.0,688.458166584433,88.458166584433,14.74302776407217,687.5734030294107,14.595567171568447,0.14746059250372312,1966,1254,712,2.019206080213629,80.50843079922028,9.0713209562896
etf,DIA,900,9.0,1026.6860179690573,126.68601796905727,14.076224218784139,1031.3601045441158,14.595567171568424,-0.5193429527842852,2838,1778,1060,2.914805114774303,88.12802423134607,9.067112696535945
stock,META,300,10.0,535.2396747653976,235.23967476539758,78.41322492179918,656.0317764053932,118.67725880179773,-40.26403387999855,3211,2647,564,3.2891502089650086,40.73759392184024,38.06075094923358
stock,META,600,10.0,1090.8080205620422,490.8080205620422,81.80133676034036,1312.0635528107864,118.67725880179773,-36.87592204145737,6579,5436,1143,6.739121527493239,38.984398761344124,38.06075094923357
stock,META,900,9.0,1609.7038545105083,709.7038545105083,78.85598383450092,1968.0953292161796,118.67725880179773,-39.821274967296816,10357,8677,1680,10.6090715397853,35.29798381417029,38.05238971017433
stock,MSFT,300,10.0,399.26622975543586,99.26622975543586,33.08874325181195,396.84692625803405,32.28230875267801,0.8064344991339354,1831,1392,439,1.875640237656218,63.005021751277134,16.313467459940764
stock,MSFT,600,5.0,810.5481874050491,210.54818740504913,35.09136456750819,793.6938525160681,32.28230875267801,2.809055814830174,7260,6343,917,7.4370006146281495,31.957940402368315,16.356312154051814
stock,MSFT,900,5.0,1216.9978989447636,316.9978989447636,35.2219887716404,1190.5407787741024,32.282308752678034,2.9396800189623633,10659,9295,1364,10.918869084204056,32.21374439662902,16.3111120309007
etf,QQQ,300,9.0,392.26110922769595,92.26110922769595,30.753703075898642,395.18754556453814,31.729181854846054,-0.9754787789474122,1681,1267,414,1.7205203524968526,72.40900640182409,12.31522409308711
etf,QQQ,600,9.0,790.5870341566443,190.58703415664434,31.764505692774048,790.3750911290763,31.729181854846054,0.03532383792799365,3476,2639,837,3.557720847875705,70.80074707380741,11.978075702859734
etf,QQQ,900,9.0,1170.3677058078313,270.36770580783127,30.040856200870138,1185.5626366936144,31.729181854846054,-1.688325653975916,4921,3689,1232,5.036692834406313,73.17843363151712,12.083668823724654
etf,SPY,300,10.0,351.17284125683443,51.17284125683443,17.057613752278144,352.89557435894176,17.631858119647248,-0.5742443673691042,993,630,363,1.0159191357014241,133.41476410934743,8.91266496576393
etf,SPY,600,10.0,703.6989577449967,103.69895774499673,17.28315962416611,705.7911487178835,17.631858119647248,-0.3486984954811376,1986,1260,726,2.0318382714028482,132.4812461419753,8.91266496576394
etf,SPY,900,10.0,1047.3993313520896,147.39933135208958,16.377703483565508,1058.6867230768253,17.631858119647248,-1.25415463608174,2963,1876,1087,3.0313881158945817,136.06726486614545,8.912664965763932
stock,TSLA,300,4.0,279.886786767335,-20.113213232664975,-6.704404410888321,282.33708889500485,-5.887637034998383,-0.8167673758899383,1048,720,328,1.0709066941886962,121.44996238425925,62.564911469131566
stock,TSLA,600,1.0,599.4870129604899,-0.5129870395101079,-0.08549783991834703,564.6741777900097,-5.887637034998383,5.802139195080036,9181,8497,684,9.381674007009943,22.186057007048237,60.36533647599688
stock,TSLA,900,1.0,946.2402341225063,46.24023412250631,5.137803791389595,847.0112666850146,-5.887637034998383,11.025440826387978,16044,14995,1049,16.39468225340023,19.155154125449226,58.78717620407778
