starting_capital,target_percent,btc_return_percent,equity_equal_weight_average_return_percent,equity_median_return_percent,equity_min_return_percent,equity_max_return_percent,equity_equal_weight_average_excess_vs_buy_hold_points,equities_beating_buy_hold,all_nine_equal_weight_average_return_percent,combined_equity_final_wealth,combined_equity_starting_capital
300,1,34.860860261993906,13.54509411295315,11.370211395743969,-7.622257802821153,44.60166165279864,-16.558534767328236,0,15.913512573957677,2725.0822587108755,2400
300,2,41.40449151525365,17.23935764152866,15.121101414445992,-7.619452586561271,56.640796929008744,-12.864271238752726,0,19.924372516386992,2813.7445833966876,2400
300,3,41.14694708260338,19.763833388340192,16.491815231143626,-7.257150491905573,64.81688477498375,-10.339795491941196,0,22.13973490992499,2874.3320013201646,2400
300,4,38.49415845526345,21.559663441663545,16.94386300368749,-6.704404410888321,66.00576161772848,-8.543965438617839,0,23.441273998730203,2917.431922599925,2400
300,5,38.823647752473974,22.10938428764725,17.30179336668971,-7.728738180156025,68.33105345571333,-7.9942445926341374,1,23.966524672627997,2930.625222903534,2400
300,6,36.95961768818643,22.06563490250877,18.097616643817915,-7.545276277749091,67.99945589536513,-8.037993977772617,0,23.720521878695177,2929.5752376602104,2400
300,7,36.68597296568572,22.970903028011822,18.31956051098048,-7.294358747682428,71.4110368502822,-7.132725852269566,0,24.494799687753364,2951.3016726722835,2400
300,8,39.75746269718488,23.20156590147528,17.326292692323598,-7.853735906471915,74.86813864292003,-6.9020629788061045,0,25.04110998988746,2956.837581635407,2400
300,9,41.250827632451916,23.770447945157446,17.787741788612788,-7.939094821334658,76.38519464785725,-6.333180935123942,2,25.71271235485683,2970.4907506837785,2400
300,10,39.016068424660986,23.59533778631063,17.66106693544983,-7.6593186310866095,78.41322492179918,-6.508291093970758,1,25.30875230168289,2966.288106871455,2400
600,1,42.68916230473374,14.52512131990434,12.049503236223202,-0.08549783991834703,39.54081131819156,-15.578507560377048,1,17.654459207107607,5497.205823355408,4800
600,2,50.5108157797669,18.903006524881224,16.19014904046349,-1.3660380152679896,58.533449173697804,-11.20062235540016,1,22.414985330979633,5707.344313194299,4800
600,3,45.15378482394876,21.089140427416254,17.401711811726763,-1.451829653463943,64.20872437777902,-9.014488452865132,1,23.762989804808754,5812.278740515981,4800
600,4,44.12250813153547,22.947556226341018,17.534566479057677,-3.0186171527264327,66.81925501234818,-7.15607265394037,2,25.300328660251513,5901.482698864369,4800
600,5,42.41675414028035,23.700039014387592,18.491125828044296,-3.4767368627056316,71.4007738329683,-6.403589865893794,3,25.779674028375677,5937.601872690604,4800
600,6,39.385223410018774,22.774139684474708,18.210934257271237,-3.60916249821438,67.68332226795508,-7.329489195806677,1,24.619815653979604,5893.158704854786,4800
600,7,39.49191236486054,23.60893073539277,18.55248224212481,-3.912796052721834,71.09840539403827,-6.4946981448886145,1,25.3737064720003,5933.228675298853,4800
600,8,40.39741905621068,23.801489253674763,17.85541893400582,-4.129982739552684,73.0287021695184,-6.302139626606623,2,25.64548145395653,5942.471484176389,4800
600,9,40.04721875475967,24.76953624474144,18.397770306573612,-4.01221728265051,77.76602284482487,-5.334092635539949,3,26.46705652363235,5988.937739747589,4800
600,10,41.38060916880202,25.028580836309775,18.790462882843116,-3.420207966891553,81.80133676034036,-5.075048043971612,2,26.845472873253357,6001.3718801428695,4800
900,1,43.56093263042815,15.259443476007657,14.258422237325584,4.410431210665378,36.538570001580005,-14.844185404273725,1,18.40405338205438,8298.679930272552,7200
900,2,51.130542204200836,18.831857427163044,16.729859773680722,3.1814745802167144,53.01226547314257,-11.27177145311834,1,22.42060018016724,8555.89373475574,7200
900,3,43.530929001985655,21.830841863877566,17.708689778249752,2.928468212781876,63.51211871039104,-8.272787016403816,1,24.241962657000688,8771.820614199185,7200
900,4,43.64747719394772,23.195430353218185,17.172712505468024,-0.36222531460367025,67.40083595284993,-6.9081985270632,2,25.46788000218813,8870.070985431708,7200
900,5,41.76313073989062,24.050840800746787,17.781481394936637,1.6259807701069828,70.7741558029791,-6.052788079534598,2,26.018873016207213,8931.660537653768,7200
900,6,37.86798967988372,22.77764290822234,17.60049898212851,-1.0281726200415897,68.08303573543864,-7.325985972059042,1,24.454348105073606,8839.990289392008,7200
900,7,40.32410755902114,23.30103116258138,17.553501924306516,-1.5513456907547352,70.61278180898702,-6.802597717700001,1,25.192484095519134,8877.67424370586,7200
900,8,38.42328292999766,23.799178710117257,17.675001721827254,-2.203271516687011,74.31086752894093,-6.304450170164126,1,25.42407917899286,8913.540867128442,7200
900,9,40.78808864531149,24.732972617198783,18.149089241095915,-1.8742505075411975,78.85598383450092,-5.3706562630826005,2,26.516874398100196,8980.774028438313,7200
900,10,41.84021720282702,24.20625807660146,18.227789614591337,-0.8791939861709785,77.12643361556675,-5.897370803679921,2,26.1655868684043,8942.850581515306,7200
