month,timestamp,close,buys,take_profit_sales,timeout_sales,skipped_buys,take_profit_pnl,timeout_pnl,net_realized_pnl,withdrawn_this_month,total_withdrawn,cash,open_lots,open_liquidation_value,account_liquidation_value,total_wealth_including_withdrawals
2020-01,1580515140,9327.85,21032,20426,313,14968,20.426000000000002,-26.957132381686396,-6.531132381690736,0.0,0.0,0.4688676182988516,293,287.1840317426823,287.65289936098117,287.65289936098117
2020-02,1583020740,8527.74,14204,13906,306,27556,13.906,-21.740444456351884,-7.834444456352686,0.0,0.0,0.6344231619540155,285,246.80782466546754,247.44224782742154,247.44224782742154
2020-03,1585699140,6421.14,21339,20922,535,23301,20.922,-139.2146888334678,-118.29268883339253,0.0,0.0,0.3417343285415022,167,157.102771943747,157.4445062722885,157.4445062722885
2020-04,1588291140,8627.32,15798,15605,196,27402,15.605,-18.157839910161275,-2.5528399101626853,0.0,0.0,0.7888944184184168,164,154.88725267041713,155.67614708883553,155.67614708883553
2020-05,1590969540,9446.19,9489,9161,345,35151,9.161,-26.14665864608145,-16.985658646077177,0.0,0.0,0.8032357723541921,147,143.2462206976729,144.04945647002708,144.04945647002708
2020-06,1593561540,9132.96,3820,3446,391,39380,3.446,-20.451452894755253,-17.005452894756004,0.0,0.0,0.7977828776036948,130,129.05168239878466,129.84946527638837,129.84946527638837
2020-07,1596239940,11356.74,6312,6180,131,38328,6.18,-3.682720651504505,2.497279348495147,0.0,0.0,2.2950622261118627,131,130.492717782062,132.78778000817385,132.78778000817385
2020-08,1598918340,11655.0,5052,4739,317,39588,4.739,-10.454052969258154,-5.715052969258434,0.0,0.0,0.5800092568614872,127,125.81279759586914,126.39280685273063,126.39280685273063
2020-09,1601510340,10778.22,5366,5121,266,37834,5.121,-25.829199298435302,-20.708199298430042,0.0,0.0,0.8718099584319461,106,104.33704071405253,105.20885067248449,105.20885067248449
2020-10,1604188740,13816.08,6214,6104,106,38426,6.104,-2.371547840140209,3.7324521598593408,0.0,0.0,0.6042621183003734,110,108.98765862292284,109.5919207412232,109.5919207412232
2020-11,1606780740,19700.19,9098,9178,0,34102,9.178,0.0,9.178000000000353,0.0,0.0,89.78226211831613,30,29.879334828391123,119.66159694670725,119.66159694670725
2020-12,1609459140,28992.79,14382,14166,121,30258,14.166,-8.51936050885398,5.646639491146708,0.0,0.0,0.4289016094842957,125,123.92932844220978,124.35823005169408,124.35823005169408
2021-01,1612137540,33141.38,12713,12484,251,31927,12.484,-34.452566842656914,-21.968566842653573,0.0,0.0,0.4603347668463389,103,93.04187226039575,93.5022070272421,93.5022070272421
2021-02,1614556740,45240.96,11746,11683,114,28574,11.683,-27.429936728356942,-15.746936728357948,0.0,0.0,35.71339803850575,52,51.50046184555369,87.21385988405945,87.21385988405945
2021-03,1617235140,58782.58,8573,8380,157,36067,8.38,-7.956785533221739,0.4232144667788857,0.0,0.0,0.13661250528883562,88,86.72852154499637,86.8651340502852,86.8651340502852
2021-04,1619827140,57775.27,3638,3466,242,39562,3.466,-17.336610066116165,-13.870610066116933,0.0,0.0,56.266002439172965,18,17.930709630250465,74.19671206942343,74.19671206942343
2021-05,1622505540,37341.41,3248,3087,132,41392,3.087,-30.274391633287888,-27.187391633285717,0.0,0.0,0.0786108058845656,47,43.36085291190579,43.43946371779035,43.43946371779035
2021-06,1625097540,35037.23,2795,2673,134,40405,2.673,-13.816005345926957,-11.143005345927609,0.0,0.0,0.9356054599576655,35,33.587524470101535,34.5231299300592,34.5231299300592
2021-07,1627775940,41490.13,2793,2697,99,41847,2.697,-5.923891427051475,-3.2268914270511138,0.0,0.0,0.7087140329070332,32,31.451723346479863,32.1604373793869,32.1604373793869
2021-08,1630454340,47156.09,2732,2696,35,41908,2.696,-1.8419819744299648,0.8540180255698664,0.0,0.0,0.5627320584774456,33,31.92105914483648,32.48379120331393,32.48379120331393
2021-09,1633046340,43834.43,2039,1982,64,41161,1.982,-8.85613597034405,-6.874135970344004,0.0,0.0,0.6885960881336608,26,25.70605130267401,26.39464739080767,26.39464739080767
2021-10,1635724740,61359.44,3263,3234,29,41377,3.234,-3.437400440622193,-0.2034004406223926,0.0,0.0,0.48519564751216393,26,25.343114866401542,25.828310513913706,25.828310513913706
