ticker,scheduled_ts,actual_ts,amount,entry_price,actual_datetime
BTCUSD,1664496000,1664496000,300.0,19605.0,2022-09-30T00:00:00+00:00
BTCUSD,1667088000,1667088000,300.0,20820.0,2022-10-30T00:00:00+00:00
BTCUSD,1669766400,1669766400,300.0,16441.0,2022-11-30T00:00:00+00:00
BTCUSD,1672358400,1672358400,300.0,16628.0,2022-12-30T00:00:00+00:00
BTCUSD,1675036800,1675036800,300.0,23740.0,2023-01-30T00:00:00+00:00
BTCUSD,1677542400,1677542400,300.0,23479.0,2023-02-28T00:00:00+00:00
BTCUSD,1680134400,1680134400,300.0,28352.0,2023-03-30T00:00:00+00:00
BTCUSD,1682812800,1682812800,300.0,29252.0,2023-04-30T00:00:00+00:00
BTCUSD,1685404800,1685404800,300.0,27751.0,2023-05-30T00:00:00+00:00
BTCUSD,1688083200,1688083200,300.0,30445.0,2023-06-30T00:00:00+00:00
BTCUSD,1690675200,1690675200,300.0,29359.0,2023-07-30T00:00:00+00:00
BTCUSD,1693353600,1693353600,300.0,27722.0,2023-08-30T00:00:00+00:00
DIA,1664544600,1664544600,300.0,291.69,2022-09-30T09:30:00-04:00
DIA,1667136600,1667223000,300.0,326.64,2022-10-31T09:30:00-04:00
DIA,1669818600,1669818600,300.0,339.21,2022-11-30T09:30:00-05:00
DIA,1672410600,1672410600,300.0,330.52,2022-12-30T09:30:00-05:00
DIA,1675089000,1675089000,300.0,338.5899,2023-01-30T09:30:00-05:00
DIA,1677594600,1677594600,300.0,328.4,2023-02-28T09:30:00-05:00
DIA,1680183000,1680183000,300.0,328.76,2023-03-30T09:30:00-04:00
DIA,1682861400,1682947800,300.0,341.41,2023-05-01T09:30:00-04:00
DIA,1685453400,1685453400,300.0,331.0,2023-05-30T09:30:00-04:00
DIA,1688131800,1688131800,300.0,342.95,2023-06-30T09:30:00-04:00
DIA,1690723800,1690810200,300.0,354.35,2023-07-31T09:30:00-04:00
DIA,1693402200,1693402200,300.0,349.21,2023-08-30T09:30:00-04:00
QQQ,1664544600,1664544600,300.0,271.43,2022-09-30T09:30:00-04:00
QQQ,1667136600,1667223000,300.0,279.3281,2022-10-31T09:30:00-04:00
QQQ,1669818600,1669818600,300.0,280.85,2022-11-30T09:30:00-05:00
QQQ,1672410600,1672410600,300.0,263.85,2022-12-30T09:30:00-05:00
QQQ,1675089000,1675089000,300.0,293.41,2023-01-30T09:30:00-05:00
QQQ,1677594600,1677594600,300.0,293.5001,2023-02-28T09:30:00-05:00
QQQ,1680183000,1680183000,300.0,314.9199,2023-03-30T09:30:00-04:00
QQQ,1682861400,1682947800,300.0,322.15,2023-05-01T09:30:00-04:00
QQQ,1685453400,1685453400,300.0,352.98,2023-05-30T09:30:00-04:00
QQQ,1688131800,1688131800,300.0,367.29,2023-06-30T09:30:00-04:00
QQQ,1690723800,1690810200,300.0,383.959,2023-07-31T09:30:00-04:00
QQQ,1693402200,1693402200,300.0,375.01,2023-08-30T09:30:00-04:00
