target_percent,all_nine_average_simple_return_percent,equity_average_simple_return_percent,btc_simple_return_percent,assets_beating_dca,equities_beating_dca,combined_final_wealth_all_nine,combined_total_contributions_all_nine
1,7.842738628215362,7.056657777827635,14.131385431317177,0,0,34941.04731554178,32400.0
2,12.180855482222903,11.160462970816935,20.343995573470643,2,1,36346.59717624022,32400.0
3,14.109897624918219,13.552986264434615,18.565188508787035,2,1,36971.6068304735,32400.0
4,15.554674466791226,15.475668029336001,16.186725966433023,5,4,37439.71452724036,32400.0
5,16.780624487134766,16.52964945993666,18.78842470471962,3,2,37836.922333831666,32400.0
6,16.67553274526913,16.817848851754714,15.53700389338446,4,3,37802.872609467195,32400.0
7,17.095419374051975,17.458310003044588,14.19229434211109,2,2,37938.91587719284,32400.0
8,17.396852169996937,17.862973657814532,13.667880267456178,3,3,38036.58010307901,32400.0
9,17.436557682141245,17.80177536532764,14.514816216650095,4,4,38049.44468901376,32400.0
10,17.608402824177173,17.84486008884818,15.716744706809106,4,3,38105.12251503341,32400.0
